game,platform,genre,release_date,metascore,genre_code_RAWG,months_from_release
Dungelot: Shattered Lands,PC,Role-Playing,2016-02-18,78,5.0,50
Dying Light: The Following,PS4,Action Adventure,2016-02-09,78,3.0,50
Reigns,PC,Simulation,2016-08-11,77,14.0,44
Letter Quest: Grimm's Journey Remastered,XONE,Puzzle,2016-04-08,77,7.0,48
Life Goes On: Done to Death,PS4,Action,2016-05-17,77,4.0,47
Sky Force Anniversary,XONE,Action,2016-12-09,77,4.0,40
Ultimate Marvel vs. Capcom 3,PS4,Action,2016-12-03,77,4.0,40
Baldur's Gate: Siege of Dragonspear,PC,Role-Playing,2016-03-31,77,5.0,49
Echoes Of Aetheria,PC,Role-Playing,2016-01-15,77,5.0,51
Orwell,PC,Adventure,2016-10-27,77,3.0,42
NHL 17,XONE,Sports,2016-09-13,77,15.0,43
On Rusty Trails,PC,Action,2016-06-13,77,4.0,46
Chronos,PC,Action Adventure,2016-03-28,77,3.0,49
Kathy Rain,PC,Adventure,2016-05-05,77,3.0,47
Day of Infamy,PC,Action,2016-07-28,77,4.0,45
VA-11 Hall-A: Cyberpunk Bartender Action,PC,Simulation,2016-06-21,77,14.0,46
Hue,PS4,Puzzle,2016-08-30,77,7.0,44
Pac-Man Championship Edition 2,XONE,Action,2016-09-13,77,4.0,43
The Banner Saga,XONE,Role-Playing,2016-01-12,76,5.0,51
Skullgirls: 2nd Encore,VITA,Action,2016-04-05,76,4.0,48
Polaris Sector,PC,Strategy,2016-03-22,76,10.0,49
The Aquatic Adventure of the Last Human,PC,Action Adventure,2016-01-19,76,3.0,51
Total War: WARHAMMER - Realm of the Wood Elves,PC,Strategy,2016-12-08,76,10.0,40
Tethered,PS4,Action,2016-10-25,76,4.0,42
10 Second Ninja X,PS4,Action,2016-07-19,76,4.0,45
Grand Kingdom,VITA,Strategy,2016-06-21,76,10.0,46
Obduction,PC,Adventure,2016-08-24,76,3.0,44
Pokken Tournament,WIIU,Action,2016-03-18,76,4.0,49
Trackmania Turbo,XONE,Racing,2016-03-22,76,1.0,49
Mario & Luigi: Paper Jam,3DS,Role-Playing,2016-01-22,76,5.0,51
Azure Striker Gunvolt 2,3DS,Action,2016-09-29,76,4.0,43
Deponia Doomsday,PC,Adventure,2016-03-01,76,3.0,49
EA Sports UFC 2,XONE,Sports,2016-03-15,76,15.0,49
7th Dragon III Code: VFD,3DS,General,2016-07-12,76,40.0,45
Resident Evil 4,XONE,Action Adventure,2016-08-30,76,3.0,44
Klaus,PS4,Action,2016-01-19,76,4.0,51
The Magic Circle: Gold Edition,PS4,Adventure,2016-04-26,76,3.0,48
Paper Mario: Color Splash,WIIU,Role-Playing,2016-10-07,76,5.0,42
Everybody's Gone to the Rapture,PC,Adventure,2016-04-14,76,3.0,48
Firewatch,PS4,Adventure,2016-02-09,76,3.0,50
American Truck Simulator,PC,Simulation,2016-02-02,76,14.0,50
Not A Hero: Super Snazzy Edition,XONE,Action,2016-05-24,75,4.0,47
Unravel,XONE,Action,2016-02-09,75,4.0,50
Strike Vector EX,PS4,Action,2016-08-30,75,4.0,44
Space Run Galaxy,PC,Strategy,2016-06-17,75,10.0,46
Watch Dogs 2,PC,Action Adventure,2016-11-28,75,3.0,41
Beholder,PC,Strategy,2016-11-09,75,10.0,41
Deus Ex: Mankind Divided - System Rift,PS4,Action Adventure,2016-09-27,75,3.0,43
Hitman - Episode 3: Marrakesh,PS4,Action Adventure,2016-05-31,75,3.0,47
Battlezone 98 Redux,PC,Simulation,2016-04-18,75,14.0,48
Digimon Story Cyber Sleuth,PS4,Role-Playing,2016-02-02,75,5.0,50
Shardlight,PC,Adventure,2016-03-08,75,3.0,49
Fallout 4: Far Harbor,PS4,Role-Playing,2016-05-19,75,5.0,47
Stikbold! A Dodgeball Adventure,PS4,Action,2016-04-05,75,4.0,48
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,Role-Playing,2016-06-07,75,5.0,46
Road to Ballhalla,PC,Action,2016-08-05,75,4.0,44
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,VITA,Role-Playing,2016-01-19,75,5.0,51
Raiden V,XONE,Action,2016-05-11,75,4.0,47
Ittle Dew 2,PS4,Role-Playing,2016-11-15,75,5.0,41
Hitman - Intro Pack,PC,Action Adventure,2016-03-11,75,3.0,49
Valentino Rossi The Game,PS4,Racing,2016-06-17,75,1.0,46
Push Me Pull You,PS4,Sports,2016-05-03,75,15.0,47
Yomawari: Night Alone,VITA,Adventure,2016-10-25,75,3.0,42
Prison Architect,XONE,Strategy,2016-07-01,75,10.0,45
Reus,PS4,Strategy,2016-10-11,75,10.0,42
Event[0],PC,Adventure,2016-09-14,75,3.0,43
Tropico 5 Penultimate Edition,XONE,Strategy,2016-05-24,75,10.0,47
Epistory - Typing Chronicles,PC,Action Adventure,2016-03-30,74,3.0,49
Batman: Arkham VR,PS4,Action,2016-10-11,74,4.0,42
Call of Duty: Black Ops III - Eclipse,PS4,Action,2016-04-19,74,4.0,48
Kerbal Space Program,XONE,Simulation,2016-07-15,74,14.0,45
SuperHyperCube,PS4,Puzzle,2016-10-13,74,7.0,42
Neverwinter,PS4,Role-Playing,2016-07-19,74,5.0,45
Not a Hero,PS4,General,2016-02-02,74,40.0,50
Nobunaga's Ambition: Sphere of Influence - Ascension,PS4,Strategy,2016-10-25,74,10.0,42
Far Cry Primal,PC,Action,2016-02-29,74,4.0,50
The Turing Test,PC,Action,2016-08-30,74,4.0,44
Street Fighter V,PC,Action,2016-02-16,74,4.0,50
Heaven's Hope,PC,General,2016-02-25,74,40.0,50
Shadow Complex Remastered,XONE,Action,2016-03-16,74,4.0,49
Call of Duty: Black Ops III - Awakening,PS4,Action,2016-02-02,74,4.0,50
Star Fox Guard,WIIU,Action,2016-04-22,74,4.0,48
Wild Guns Reloaded,PS4,Action,2016-12-20,74,4.0,40
Attack on Titan,PS4,Action,2016-08-30,74,4.0,44
Anarcute,XONE,Action,2016-07-12,74,4.0,45
Blues and Bullets - Episode 2: Shaking The Hive,XONE,Action Adventure,2016-04-08,74,3.0,48
TASTEE: Lethal Tactics,PC,Strategy,2016-05-10,74,10.0,47
Disgaea PC,PC,Strategy,2016-02-04,74,10.0,50
Headlander,PC,Action,2016-07-26,74,4.0,45
Neverending Nightmares,PS4,Action Adventure,2016-05-03,74,3.0,47
Virginia,PC,Adventure,2016-09-22,74,3.0,43
Master of Orion: Conquer the Stars,PC,Strategy,2016-08-25,74,10.0,44
Ladykiller in a Bind,PC,Action Adventure,2016-10-10,73,3.0,42
Super Mario Maker for Nintendo 3DS,3DS,Action,2016-12-02,73,4.0,40
Black Desert Online,PC,Role-Playing,2016-03-03,73,5.0,49
Batman: The Telltale Series - Episode 4: Guardian of Gotham,PC,Adventure,2016-11-22,73,3.0,41
Punch Club,PC,Sports,2016-01-08,73,15.0,51
Action Henk,PS4,Action,2016-03-08,73,4.0,49
Disney Magical World 2,3DS,Simulation,2016-10-14,73,14.0,42
Project X Zone 2,3DS,Strategy,2016-02-16,73,10.0,50
Stories: The Path of Destinies,PS4,Role-Playing,2016-04-12,73,5.0,48
RIVE,PC,Action,2016-09-13,73,4.0,43
Call of Duty: Infinite Warfare,PC,Action,2016-11-03,73,4.0,41
StarCraft II: Nova Covert Ops - Mission Pack 1,PC,Strategy,2016-03-29,73,10.0,49
Eagle Flight,PS4,Action,2016-11-08,73,4.0,41
Batman: The Telltale Series - Episode 3: New World Order,PC,Adventure,2016-10-25,73,3.0,42
Gears of War: Ultimate Edition for Windows 10,PC,Action,2016-03-01,73,4.0,49
Warhammer: End Times - Vermintide,PS4,Action,2016-10-04,73,4.0,42
Yesterday Origins,PS4,Adventure,2016-11-17,73,3.0,41
Poly Bridge,PC,Puzzle,2016-07-12,73,7.0,45
Project Highrise,PC,Strategy,2016-09-08,73,10.0,43
Rise of the Tomb Raider: Baba Yaga - The Temple of the Witch,XONE,Action Adventure,2016-01-26,73,3.0,51
Headmaster,PS4,Sports,2016-10-13,72,15.0,42
Dead Rising 4,XONE,Action Adventure,2016-12-06,72,3.0,40
Layers of Fear,PC,Adventure,2016-02-16,72,3.0,50
Wayward Sky,PS4,Action,2016-10-10,72,4.0,42
Return to PoPoLoCrois: A Story of Seasons Fairytale,3DS,Strategy,2016-03-01,72,10.0,49
Gurumin 3D: A Monstrous Adventure,3DS,Role-Playing,2016-10-13,72,5.0,42
Hitman GO: Definitive Edition,PC,Strategy,2016-02-23,72,10.0,50
Yo-kai Watch 2: Bony Spirits,3DS,Role-Playing,2016-09-30,72,5.0,43
Let It Die,PS4,Action,2016-12-03,72,4.0,40
Ray Gigant,VITA,Role-Playing,2016-05-03,72,5.0,47
Superdimension Neptune VS Sega Hard Girls,VITA,Action,2016-10-18,72,4.0,42
Duke Nukem 3D: 20th Anniversary World Tour,PC,Action,2016-10-11,72,4.0,42
LEGO Star Wars: The Force Awakens,PC,Action Adventure,2016-06-27,72,3.0,46
UEFA EURO 2016,PS4,Sports,2016-04-21,72,15.0,48
Minecraft: Story Mode - Episode 5: Order Up!,PS4,Action Adventure,2016-03-29,72,3.0,49
Just Cause 3: Sky Fortress,PS4,Action Adventure,2016-03-15,72,3.0,49
Destiny: Rise of Iron,PS4,Action,2016-09-20,72,4.0,43
Until Dawn: Rush of Blood,PS4,Action,2016-10-13,72,4.0,42
The Deadly Tower of Monsters,PS4,General,2016-01-19,72,40.0,51
Republique,PS4,Action Adventure,2016-03-22,72,3.0,49
Valkyrie Drive: Bhikkhuni,VITA,Action,2016-10-11,72,4.0,42
Cities: Skylines - Snowfall,PC,Strategy,2016-02-18,72,10.0,50
Dragon Ball: Fusions,3DS,Role-Playing,2016-11-22,72,5.0,41
Mordheim: City of the Damned,PS4,Strategy,2016-10-18,72,10.0,42
Total War: WARHAMMER - Call of the Beastmen,PC,Strategy,2016-07-28,72,10.0,45
Demetrios - The BIG Cynical Adventure,PC,Adventure,2016-05-31,72,3.0,47
Dead Rising Triple Pack,PS4,Action Adventure,2016-09-13,71,3.0,43
Bound,PS4,Action,2016-08-16,71,4.0,44
Steep,PS4,Sports,2016-12-02,71,15.0,40
Job Simulator,PS4,Action,2016-10-13,71,4.0,42
Deponia,PS4,Adventure,2016-12-01,71,3.0,40
Tumblestone,XONE,Puzzle,2016-07-16,71,7.0,45
Factotum 90,XONE,Puzzle,2016-02-10,71,7.0,50
Megadimension Neptunia VII,PS4,Role-Playing,2016-02-02,71,5.0,50
Hitman - Episode 4: Bangkok,PS4,Action Adventure,2016-08-16,71,3.0,44
Corpse Party,PC,Action Adventure,2016-04-25,71,3.0,48
Fenix Furia,PS4,Action,2016-06-07,71,4.0,46
LEGO Marvel's Avengers,PS4,Action Adventure,2016-01-26,71,3.0,51
The Detail,PC,Adventure,2016-04-28,71,3.0,48
Tachyon Project,PS4,Action,2016-01-19,71,4.0,51
Dark Souls III: Ashes of Ariandel,PS4,Role-Playing,2016-10-25,71,5.0,42
Aragami,PC,Action Adventure,2016-10-04,71,3.0,42
Dreamfall Chapters,PC,Adventure,2016-06-17,71,3.0,46
Crazy Machines 3,PC,Puzzle,2016-10-18,71,7.0,42
Samurai Warriors 4 Empires,PS4,Action,2016-03-15,71,4.0,49
Riptide GP: Renegade,PS4,General,2016-07-26,71,40.0,45
Chambara,PS4,Action,2016-07-26,71,4.0,45
The Climb,PC,Action Adventure,2016-04-21,71,3.0,48
Transport Fever,PC,Strategy,2016-11-08,71,10.0,41
Edge of Nowhere,PC,Action Adventure,2016-06-06,71,3.0,46
Amazing Discoveries In Outer Space,PS4,Action,2016-02-02,71,4.0,50
The Walking Dead: Michonne - Episode 3: What We Deserve,PC,Adventure,2016-04-26,71,3.0,48
Halcyon 6: Starbase Commander,PC,Strategy,2016-09-08,71,10.0,43
Brigador,PC,Action,2016-06-02,70,4.0,46
God Eater Resurrection,PS4,Role-Playing,2016-06-29,70,5.0,46
Hitman - Episode 5: Colorado,PS4,Action Adventure,2016-09-27,70,3.0,43
The Warlock of Firetop Mountain,PC,Role-Playing,2016-08-31,70,5.0,44
Hyrule Warriors Legends,3DS,Action,2016-03-25,70,4.0,49
Yo-kai Watch 2: Fleshy Souls,3DS,Role-Playing,2016-09-30,70,5.0,43
Stranger of Sword City,XONE,Role-Playing,2016-03-22,70,5.0,49
Senran Kagura Shinovi Versus,PC,Action,2016-06-01,70,4.0,46
Mother Russia Bleeds,PC,Action,2016-09-05,70,4.0,43
Wailing Heights,PC,Adventure,2016-04-27,70,3.0,48
Nitroplus Blasterz: Heroines Infinite Duel,PS4,Action,2016-02-02,70,4.0,50
The Final Station,XONE,Action Adventure,2016-09-02,70,3.0,43
Rainbow Moon,PS4,Strategy,2016-02-16,70,10.0,50
Star Wars Battlefront: Outer Rim,PS4,Action,2016-04-05,70,4.0,48
Dead Star,PS4,Action,2016-04-05,70,4.0,48
Grow Up,PS4,Action Adventure,2016-08-16,70,3.0,44
Fortified,XONE,Action,2016-02-03,69,4.0,50
Final Fantasy Explorers,3DS,Role-Playing,2016-01-26,69,5.0,51
River City: Tokyo Rumble,3DS,Action,2016-09-27,69,4.0,43
Sorcery! Parts 1 and 2,PC,Action,2016-02-02,69,4.0,50
The Walking Dead: The Telltale Series - A New Frontier,PC,Action,2016-12-20,69,4.0,40
EVE: Valkyrie,PC,Simulation,2016-11-17,69,14.0,41
Diaries of a Spaceport Janitor,PC,Simulation,2016-09-16,69,14.0,43
Ashes of the Singularity,PC,Strategy,2016-03-31,69,10.0,49
Sword Art Online: Hollow Realization,PS4,Role-Playing,2016-11-08,69,5.0,41
God Eater 2: Rage Burst,PS4,Role-Playing,2016-08-30,69,5.0,44
Livelock,PS4,Action,2016-08-30,69,4.0,44
Deadlight: Director's Cut,XONE,Action,2016-06-21,69,4.0,46
Mirror's Edge Catalyst,PS4,Action,2016-06-07,69,4.0,46
Star Fox Zero,WIIU,Action,2016-04-22,69,4.0,48
ClusterTruck,XONE,Action,2016-10-28,69,4.0,42
Pro Evolution Soccer 2017,PC,Sports,2016-09-13,69,15.0,43
Okhlos,PC,Action Adventure,2016-08-18,69,3.0,44
Tumble VR,PS4,Puzzle,2016-10-10,69,7.0,42
Arslan: The Warriors of Legend,PS4,Action,2016-02-09,69,4.0,50
Exist Archive: The Other Side of the Sky,PS4,Role-Playing,2016-10-18,69,5.0,42
Resident Evil 5,PS4,Action Adventure,2016-06-28,69,3.0,46
Fragments of Him,PC,Adventure,2016-05-03,69,3.0,47
Aurion: Legacy of the Kori-Odan,PC,Action,2016-04-14,69,4.0,48
Screencheat,PS4,Action,2016-03-01,69,4.0,49
Dead Synchronicity: Tomorrow Comes Today,PS4,Adventure,2016-10-04,69,3.0,42
Farming Simulator 17,PC,Simulation,2016-10-24,69,14.0,42
8-Bit Armies,PC,Strategy,2016-04-22,69,10.0,48
WWE 2K17,XONE,Sports,2016-10-11,68,15.0,42
Bear With Me: Episode 1,PC,Adventure,2016-08-08,68,3.0,44
Blade & Soul,PC,Massively Multiplayer Online,2016-01-19,68,59.0,51
Heart&Slash,XONE,Action,2016-06-24,68,4.0,46
Rogue Stormers,PC,Action,2016-04-21,68,4.0,48
Koihime Enbu,PC,Action,2016-05-19,68,4.0,47
Valley,XONE,Action Adventure,2016-08-23,68,3.0,44
Broforce,PS4,Action,2016-03-01,68,4.0,49
In Between,XONE,Action,2016-06-08,68,4.0,46
"LEVEL 22, Gary's Misadventures",XONE,Action,2016-01-29,68,4.0,51
Dear Esther: Landmark Edition,PS4,Adventure,2016-09-20,68,3.0,43
Need for Speed,PC,Racing,2016-03-15,68,1.0,49
Resident Evil 0: HD Remaster,PC,Action Adventure,2016-01-19,68,3.0,51
Root Letter,PS4,Adventure,2016-11-08,68,3.0,41
Earth's Dawn,PS4,Action,2016-11-01,68,4.0,41
Slain: Back from Hell,PS4,Action,2016-09-20,68,4.0,43
Lichtspeer,PS4,Action Adventure,2016-09-27,67,3.0,43
Brut@l,PS4,Action Adventure,2016-08-09,67,3.0,44
FORCED SHOWDOWN,PC,Role-Playing,2016-03-29,67,5.0,49
Assault Suit Leynos,PS4,Action,2016-07-14,67,4.0,45
Fallout 4: Automatron,PC,Role-Playing,2016-03-22,67,5.0,49
Criminal Girls 2: Party Favors,VITA,Role-Playing,2016-09-22,67,5.0,43
King's Quest Chapter 4: Snow Place Like Home,PS4,Adventure,2016-09-27,67,3.0,43
Nights of Azure,PS4,Role-Playing,2016-03-29,67,5.0,49
How We Soar,PS4,Action,2016-11-29,67,4.0,41
Batman: The Telltale Series - Episode 5: City of Light,PS4,Adventure,2016-12-13,67,3.0,40
Dex,PS4,Role-Playing,2016-07-12,67,5.0,45
TurnOn,XONE,Action,2016-06-01,67,4.0,46
Romance of the Three Kingdoms XIII,PS4,Strategy,2016-07-05,67,10.0,45
The Walking Dead: Michonne - A Telltale Miniseries,PC,Adventure,2016-04-26,67,3.0,48
Champions of Anteria,PC,Strategy,2016-08-30,67,10.0,44
Claire: Extended Cut,XONE,Adventure,2016-09-06,67,3.0,43
Hard Reset Redux,XONE,Action,2016-06-03,67,4.0,46
The Way,PC,Action,2016-05-19,67,4.0,47
Small Radios Big Televisions,PC,Adventure,2016-11-08,67,3.0,41
Rogue Wizards,PC,Role-Playing,2016-09-27,67,5.0,43
CALENDULA,PC,Adventure,2016-02-02,67,3.0,50
Rocketbirds 2: Evolution,PS4,Action,2016-04-26,67,4.0,48
Dungeon Souls,PC,Role-Playing,2016-12-02,67,5.0,40
Earthlock: Festival of Magic,XONE,Role-Playing,2016-09-01,66,5.0,43
Foul Play,PS4,Action,2016-02-23,66,4.0,50
Quantum Break,PC,Action,2016-04-05,66,4.0,48
Driveclub VR,PS4,Racing,2016-09-21,66,1.0,43
Adventures of Mana,VITA,Role-Playing,2016-06-28,66,5.0,46
Her Majesty's SPIFFING,XONE,Adventure,2016-12-07,66,3.0,40
Enigmatis: The Ghosts of Maple Creek,XONE,Puzzle,2016-04-08,66,7.0,48
Cobalt,XONE,Action,2016-02-02,66,4.0,50
Super Stardust Ultra VR,PS4,Action,2016-10-10,66,4.0,42
The Incredible Adventures of Van Helsing II,XONE,Role-Playing,2016-07-01,66,5.0,45
The Walking Dead: Michonne - Episode 2: Give No Shelter,PC,Adventure,2016-03-29,66,3.0,49
NASCAR Heat Evolution,PS4,Racing,2016-09-13,66,1.0,43
WRC 6: World Rally Championship,PS4,Racing,2016-10-07,66,1.0,42
Batman: The Telltale Series - Episode 2: Children of Arkham,PS4,Adventure,2016-09-20,66,3.0,43
Silence: The Whispered World 2,XONE,Adventure,2016-11-15,66,3.0,41
Manual Samuel,XONE,Role-Playing,2016-10-14,66,5.0,42
Song of the Deep,XONE,Action Adventure,2016-07-12,66,3.0,45
Battlezone,PS4,Action,2016-10-13,66,4.0,42
Bridge Constructor,PS4,Simulation,2016-12-13,66,14.0,40
Full Mojo Rampage,PS4,Role-Playing,2016-06-28,66,5.0,46
Galactic Civilizations III: Mercenaries,PC,General,2016-02-18,66,40.0,50
Among the Sleep,PS4,Adventure,2016-07-26,66,3.0,45
Agatha Christie: The ABC Murders,PC,Adventure,2016-02-04,66,3.0,50
Agatha Christie's The ABC Murders,XONE,Adventure,2016-02-23,66,3.0,50
Unepic,PS4,Action,2016-03-29,66,4.0,49
Batman: The Telltale Series - Episode 1: Realm of Shadows,XONE,Adventure,2016-08-02,65,3.0,44
Maize,PC,Adventure,2016-12-01,65,3.0,40
Lovely Planet,XONE,Action,2016-01-08,65,4.0,51
Trillion: God of Destruction,VITA,Role-Playing,2016-03-29,65,5.0,49
The Walking Dead: Michonne - Episode 1: In Too Deep,XONE,Adventure,2016-02-23,65,3.0,50
Sherlock Holmes: The Devil's Daughter,PC,Adventure,2016-06-10,65,3.0,46
Xenoraid,PS4,Action,2016-11-08,65,4.0,41
Lucky's Tale,PC,Action,2016-03-28,64,4.0,49
Metroid Prime: Federation Force,3DS,Action,2016-08-19,64,4.0,44
Californium,PC,Adventure,2016-02-17,64,3.0,50
Robinson: The Journey,PS4,Action Adventure,2016-11-08,64,3.0,41
Fallout 4: Nuka-World,PS4,Role-Playing,2016-08-30,64,5.0,44
Gal*Gun: Double Peace,PS4,Action,2016-08-02,64,4.0,44
Tom Clancy's The Division - Underground,PS4,Action,2016-06-28,64,4.0,46
P-O-L-L-E-N,PC,Adventure,2016-04-19,64,3.0,48
SwapQuest,VITA,Action,2016-02-23,64,4.0,50
TRON RUN/r,PS4,Action,2016-02-16,64,4.0,50
Psycho-Pass: Mandatory Happiness,VITA,Adventure,2016-09-13,64,3.0,43
Kholat,PS4,Adventure,2016-03-08,64,3.0,49
The Witch and the Hundred Knight: Revival Edition,PS4,Role-Playing,2016-03-01,63,5.0,49
Windlands,PS4,Adventure,2016-10-25,63,3.0,42
Obscuritas,PC,Adventure,2016-03-17,63,3.0,49
Pang Adventures,PS4,Action,2016-04-19,63,4.0,48
Assassin's Creed Chronicles: India,PC,Action Adventure,2016-01-12,63,3.0,51
Exile's End,PS4,Action,2016-10-25,63,4.0,42
Wheels of Aurelia,PC,Racing,2016-09-20,63,1.0,43
Sebastien Loeb Rally Evo,XONE,Racing,2016-01-29,63,1.0,51
Cossacks 3,PC,General,2016-09-20,63,40.0,43
Assetto Corsa,XONE,Racing,2016-08-30,63,1.0,44
Crush Your Enemies,PC,Strategy,2016-07-13,63,10.0,45
The Westport Independent,PC,Strategy,2016-01-21,63,10.0,51
Sheltered,PC,Strategy,2016-03-15,62,10.0,49
Mafia III,PC,Action Adventure,2016-10-06,62,3.0,42
Gas Guzzlers Extreme,XONE,Simulation,2016-11-04,62,14.0,41
Sonic Boom: Fire & Ice,3DS,Action,2016-09-27,62,4.0,43
Between Me and The Night,PC,Action Adventure,2016-01-22,62,3.0,51
Little King's Story,PC,Strategy,2016-08-05,62,10.0,44
Here They Lie,PS4,Adventure,2016-10-13,62,3.0,42
Tiny Troopers: Joint Ops,XONE,Action,2016-02-26,62,4.0,50
Moon Hunters,PC,Role-Playing,2016-03-10,62,5.0,49
Senran Kagura: Bon Appetit! - Full Course,PC,Action,2016-11-10,62,4.0,41
The Little Acre,PC,Action Adventure,2016-12-13,62,3.0,40
Gunscape,PS4,Action,2016-03-01,61,4.0,49
Dungeons 2,PS4,Strategy,2016-05-24,61,10.0,47
Into the Stars,PC,Action Adventure,2016-03-04,61,3.0,49
Filthy Lucre,PS4,Action,2016-09-16,61,4.0,43
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,Action,2016-06-28,61,4.0,46
MegaTagmension Blanc + Neptune VS Zombies,VITA,Action,2016-05-10,61,4.0,47
Asemblance,PS4,Adventure,2016-06-21,61,3.0,46
The Descendant,PC,Adventure,2016-03-24,61,3.0,49
Tempest (2015),PC,Simulation,2016-08-22,60,14.0,44
Lifeless Planet: Premier Edition,PS4,Action Adventure,2016-07-19,60,3.0,45
Resident Evil 6,PS4,Action Adventure,2016-03-29,60,3.0,49
We Are The Dwarves,PC,Strategy,2016-02-25,60,10.0,50
EVE: Gunjack,PS4,Simulation,2016-10-13,60,14.0,42
Mario & Sonic at the Rio 2016 Olympic Games,3DS,Sports,2016-03-18,60,15.0,49
One Piece: Burning Blood,XONE,Action,2016-05-31,60,4.0,47
N.E.R.O.: Nothing Ever Remains Obscure,PS4,Adventure,2016-06-24,59,3.0,46
Harvest Moon: Skytree Village,3DS,General,2016-11-08,59,40.0,41
Chase: Cold Case Investigations - Distant Memories,3DS,Adventure,2016-10-13,59,3.0,42
Necropolis,PC,Action Adventure,2016-07-12,59,3.0,45
Mount & Blade: Warband,XONE,Role-Playing,2016-09-16,59,5.0,43
Drive!Drive!Drive!,PS4,Racing,2016-12-13,59,1.0,40
MXGP2: The Official Motocross Videogame,XONE,Racing,2016-06-21,59,1.0,46
GunWorld 2,XONE,Action,2016-05-13,59,4.0,47
Lost Sea,XONE,Strategy,2016-06-29,59,10.0,46
Shooting Stars!,PC,Action,2016-01-19,59,4.0,51
Star Ocean: Integrity and Faithlessness,PS4,Role-Playing,2016-06-28,58,5.0,46
Cornerstone: The Song of Tyrim,PC,Action Adventure,2016-04-26,58,3.0,48
Attractio,PS4,Puzzle,2016-01-19,58,7.0,51
Mitsurugi Kamui Hikae,PS4,Action,2016-02-16,58,4.0,50
ReCore,PC,Action Adventure,2016-09-13,58,3.0,43
The Dwarves,XONE,Role-Playing,2016-12-01,58,5.0,40
Touhou: Scarlet Curiosity,PS4,Role-Playing,2016-09-22,58,5.0,43
Carnival Games VR,PS4,Action,2016-10-28,58,4.0,42
Time Machine VR,PC,Adventure,2016-05-19,58,3.0,47
Shadow Puppeteer,WIIU,Action,2016-01-28,57,4.0,51
Mobile Suit Gundam: Extreme VS-Force,VITA,Action,2016-07-12,57,4.0,45
Goliath,PC,Action Adventure,2016-05-12,57,3.0,47
The Bunker,PC,Action,2016-09-20,57,4.0,43
ZHEROS,XONE,Action,2016-01-15,57,4.0,51
Aegis of Earth: Protonovus Assault,PS4,Strategy,2016-03-15,57,10.0,49
Catlateral Damage,PS4,Action,2016-03-22,57,4.0,49
MeiQ: Labyrinth of Death,VITA,General,2016-09-13,56,40.0,43
The Technomancer,PC,Role-Playing,2016-06-28,56,5.0,46
Q*bert: Rebooted: The XBOX One @!#?@! Edition,XONE,Action,2016-02-12,56,4.0,50
Lethal VR,PS4,Action,2016-12-20,56,4.0,40
ADR1FT,PS4,Action,2016-07-15,56,4.0,45
Hardware: Rivals,PS4,Simulation,2016-01-05,56,14.0,51
Shattered Skies,PC,Action,2016-07-21,56,4.0,45
Syndrome,PC,Action,2016-10-06,56,4.0,42
SportsBarVR,PS4,Sports,2016-10-18,55,15.0,42
Touhou Genso Rondo: Bullet Ballet,PS4,Action,2016-09-06,55,4.0,43
Bohemian Killing,PC,Adventure,2016-07-21,55,3.0,45
The Park,PS4,Action Adventure,2016-05-03,55,3.0,47
A.W.: Phoenix Festa,VITA,Role-Playing,2016-07-26,55,5.0,45
Homefront: The Revolution,PC,Shooter,2016-05-17,54,2.0,47
POSTAL Redux,PC,Action,2016-05-20,54,4.0,47
Gemini: Heroes Reborn,PC,Action Adventure,2016-01-18,54,3.0,51
Sadame,3DS,Role-Playing,2016-02-25,54,5.0,50
Breached,PC,Adventure,2016-06-22,54,3.0,46
E.T. Armies,PC,Action,2016-03-03,54,4.0,49
Dangerous Golf,PC,Sports,2016-06-02,54,15.0,46
Trials of the Blood Dragon,PC,Action,2016-06-13,54,4.0,46
Assassin's Creed Chronicles: Russia,PC,Action Adventure,2016-02-09,53,3.0,50
Active Soccer 2 DX,XONE,Action,2016-03-30,53,4.0,49
Planar Conquest,PC,Strategy,2016-05-30,53,10.0,47
Phantaruk,PC,Action Adventure,2016-08-16,53,3.0,44
Adam's Venture: Origins,PS4,Adventure,2016-04-01,53,3.0,48
Loading Human: Chapter 1,PS4,Adventure,2016-10-13,53,3.0,42
Kill Strain,PS4,Action,2016-07-12,53,4.0,45
Back in 1995,PC,Action Adventure,2016-04-28,52,3.0,48
Anima: Gate of Memories,PS4,Role-Playing,2016-06-07,52,5.0,46
"Warhammer 40,000: Eternal Crusade",PC,Role-Playing,2016-09-23,52,5.0,43
Pixel Gear,PS4,Action,2016-10-20,51,4.0,42
Dinocide,PC,Action,2016-01-21,51,4.0,51
Koi,PS4,Action Adventure,2016-04-19,51,3.0,48
Carmageddon: Max Damage,PS4,Racing,2016-07-05,51,1.0,45
Shadwen,PS4,Action Adventure,2016-05-17,51,3.0,47
Party Hard,XONE,Action,2016-04-26,51,4.0,48
Mark McMorris Infinite Air,PS4,Sports,2016-10-25,50,15.0,42
Armikrog,PS4,Adventure,2016-08-23,50,3.0,44
Pixel Piracy,PS4,Strategy,2016-02-16,50,10.0,50
MagNets: Fully Charged,XONE,Action,2016-03-11,49,4.0,49
