game,platform,genre,release_date,metascore,genre_code_RAWG,months_from_release
V-Rally 4,PS4,Racing,2018-09-11,58,1.0,19
SINNER: Sacrifice for Redemption,Switch,Action Adventure,2018-10-18,58,3.0,18
This is the Police 2,Switch,Simulation,2018-09-25,58,14.0,19
The Long Reach,Switch,Action Adventure,2018-03-15,58,3.0,25
Little Dragons Cafe,PS4,Strategy,2018-08-24,57,10.0,20
Sinner: Sacrifice for Redemption,PS4,Action Adventure,2018-10-18,57,3.0,18
Gear.Club Unlimited 2,Switch,Racing,2018-12-04,57,1.0,16
Tour de France 2018,PS4,Sports,2018-06-28,57,15.0,22
RollerCoaster Tycoon Adventures,Switch,Strategy,2018-12-13,57,10.0,16
Animal Force,PS4,Action,2018-07-10,57,4.0,21
Far Cry 5: Lost on Mars,PS4,Action,2018-07-17,57,4.0,21
Gal*Gun 2,PS4,Action,2018-04-24,56,4.0,24
Dynasty Warriors 9,XONE,Action Adventure,2018-02-13,56,3.0,26
Space Hulk: Deathwing,PS4,Action,2018-05-22,55,4.0,23
Suicide Guy,Switch,Action Adventure,2018-05-10,55,3.0,23
Robocraft Infinity,XONE,Action,2018-04-11,55,4.0,24
The Seven Deadly Sins: Knights of Britannia,PS4,Action,2018-02-09,55,4.0,26
STONE,PC,Adventure,2018-09-21,55,3.0,19
Titan Quest,PS4,Role-Playing,2018-03-20,55,5.0,25
Anamorphine,PS4,Adventure,2018-07-31,55,3.0,21
Nippon Marathon,PS4,Sports,2018-12-17,54,15.0,16
Jumping Joe & Friends,Switch,Action,2018-05-25,54,4.0,23
Metal Gear Survive,PC,Action Adventure,2018-02-21,54,3.0,26
Legend of Kay Anniversary,Switch,Action Adventure,2018-05-29,54,3.0,23
Earthfall,PS4,Action,2018-07-13,54,4.0,21
Time Carnage,PS4,Action,2018-04-10,54,4.0,24
Kingdom Come: Deliverance - From The Ashes,PC,Role-Playing,2018-07-05,54,5.0,21
Legendary Eleven,Switch,Sports,2018-06-08,54,15.0,22
Castle of Heart,Switch,Action Adventure,2018-03-23,53,3.0,25
Black Clover: Quartet Knights,PS4,Action Adventure,2018-09-14,53,3.0,19
Dakar 18,PS4,Racing,2018-09-25,53,1.0,19
Bullet Witch,PC,Action,2018-04-25,51,4.0,24
Baseball Riot,Switch,Puzzle,2018-01-19,51,7.0,27
AO International Tennis,PS4,Sports,2018-05-08,50,15.0,23
Milanoir,Switch,Role-Playing,2018-05-31,50,5.0,23
Adventure Time: Pirates of the Enchiridion,Switch,Action Adventure,2018-07-17,50,3.0,21
Crisis on the Planet of the Apes VR,PS4,Action,2018-04-03,49,4.0,24
Fallout 76,XONE,Role-Playing,2018-11-14,49,5.0,17
Immortal: Unchained,PS4,Role-Playing,2018-09-07,49,5.0,19
Morphies Law,Switch,Action,2018-08-20,48,4.0,20
Out of Ammo,PS4,Action,2018-01-30,48,4.0,27
Extinction,PS4,Action Adventure,2018-04-10,47,3.0,24
Desert Child,Switch,Racing,2018-12-11,47,1.0,16
